,tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
2243,tt3155342,movie,All Together Now,All Together Now,2020,92,Drama,6.5,5031
526,tt10309552,movie,12 Hour Shift,12 Hour Shift,2020,86,"Comedy,Horror,Thriller",5.5,5044
1345,tt11542214,movie,War of the Eltis,Eltilerin Savasi,2020,118,"Comedy,Family",5.8,5123
1000,tt9138170,movie,Limbo,Limbo,2020,104,"Comedy,Drama",7.2,5168
497,tt6060444,movie,The Paper Tigers,The Paper Tigers,2020,108,"Action,Comedy",6.3,5180
2552,tt11874226,movie,David Byrne's American Utopia,American Utopia,2020,105,"Documentary,Music,Musical",8.2,5192
1232,tt8179470,movie,Looks That Kill,Looks That Kill,2020,92,"Comedy,Drama,Romance",6.3,5225
1380,tt10702148,movie,The Killing of Two Lovers,The Killing of Two Lovers,2020,85,Drama,6.8,5229
1286,tt8241876,movie,5th Borough,5th Borough,2020,95,Crime,4.7,5258
1116,tt9224288,movie,Mainstream,Mainstream,2020,94,"Comedy,Drama",5,5282
3,tt0920462,movie,Lost Girls and Love Hotels,Lost Girls and Love Hotels,2020,97,Drama,4.7,5308
1274,tt11525022,movie,Dance of the 41,El baile de los 41,2020,99,"Biography,Drama,History",6.8,5308
1063,tt10543680,movie,Ginny Weds Sunny,Ginny Weds Sunny,2020,125,"Comedy,Drama,Romance",5.7,5318
2595,tt13243898,movie,The Mole: Undercover in North Korea,The Mole: Undercover in North Korea,2020,123,"Documentary,Thriller",8.3,5322
1797,tt10933680,movie,Debt Collectors,Debt Collectors,2020,97,"Action,Comedy",5.8,5328
288,tt7035004,movie,The Swordsman,Geomgaek,2020,100,"Action,Drama,History",6.8,5338
181,tt10110614,movie,Apples,Mila,2020,91,Drama,6.8,5341
780,tt12735338,movie,Words Bubble Up Like Soda Pop,Cider no yô ni kotoba ga wakiagaru,2020,87,"Animation,Drama,Music",6.8,5342
532,tt1817232,movie,Phineas and Ferb the Movie: Candace Against the Universe,Phineas and Ferb the Movie: Candace Against the Universe,2020,86,"Adventure,Animation,Comedy",7,5356
1101,tt11454718,movie,The Yin-Yang Master: Dream of Eternity,Qing Ya Ji,2020,132,"Action,Drama,Fantasy",6.4,5362
111,tt10068916,movie,Made in Abyss: Dawn of the Deep Soul,Gekijouban Made in Abyss: Fukaki Tamashii no Reimei,2020,113,"Adventure,Animation,Drama",8,5374
206,tt10127708,movie,Valley of the Dead,Malnazidos,2020,101,"Action,Comedy,Horror",5.8,5375
1433,tt9472532,movie,The Intergalactic Adventures of Max Cloud,Max Cloud,2020,88,"Action,Comedy,Sci-Fi",4.6,5385
67,tt8332454,movie,Shooting Heroin,Shooting Heroin,2020,90,"Action,Drama,Thriller",4.8,5394
1811,tt10937434,movie,Ultras,Ultras,2020,108,Drama,6.2,5395
2343,tt11815960,movie,Superdeep,Kolskaya sverhglubokaya,2020,115,"Horror,Sci-Fi,Thriller",4.9,5408
1583,tt9616700,movie,Adu,Adú,2020,119,Drama,6.8,5412
1619,tt10831086,movie,Pixie,Pixie,2020,93,"Comedy,Crime,Thriller",5.9,5423
2936,tt11988512,movie,One-Way to Tomorrow,Yarina Tek Bilet,2020,90,"Comedy,Drama,Romance",5.6,5462
2728,tt11916302,movie,Derek DelGaudio's In & Of Itself,In & of Itself,2020,90,Documentary,8.2,5484
1231,tt10642834,movie,The Forty-Year-Old Version,The Forty-Year-Old Version,2020,123,"Comedy,Drama",7.2,5488
911,tt11394182,movie,Feels Good Man,Feels Good Man,2020,92,"Comedy,Documentary",7.5,5490
3079,tt13354204,movie,Just Another Christmas,Tudo Bem No Natal Que Vem,2020,100,"Comedy,Drama",6.7,5508
1791,tt9747594,movie,Beasts Clawing at Straws,Jipuragirado jabgo sipeun jibseungdeul,2020,108,"Crime,Drama,Thriller",7,5536
777,tt11357580,movie,Luz,Luz,2020,118,"Crime,Drama,Romance",6.7,5546
1931,tt9850386,movie,The Bee Gees: How Can You Mend a Broken Heart,The Bee Gees: How Can You Mend a Broken Heart,2020,111,"Biography,Documentary,Music",8.1,5571
645,tt8884906,movie,Monday,Monday,2020,116,"Drama,Romance",5.7,5588
313,tt4257940,movie,The Lost Husband,The Lost Husband,2020,109,"Drama,Romance",6.1,5593
